Frequency,Averaged_FRF_Magnitude,Averaged_Coherence,Averaged_Phase
0.0,45.29155025385338,0.5406856158690373,0.0
8.3333349609375,37.02659458075154,0.25256732312692093,-9.780438605225537
16.666669921875,29.05597635817351,0.25562193869301186,-45.54095324388082
25.000004882812497,19.199309262154227,0.6793406545588085,-82.4030808169775
33.33333984375,9.718320001027228,0.9652683834908385,-87.18218552373567
41.666674804687496,8.410159377630107,0.9841510184580959,-78.66146260841685
50.000009765624995,7.417125401841705,0.9882927119834808,-82.87921565538574
58.333344726562494,6.357363394735267,0.9952967445915839,-87.08088662780027
66.6666796875,5.291876030514589,0.9983654175950697,-89.11318083007993
75.00001464843749,4.6316711998657745,0.9991531363719629,-88.8722593496924
83.33334960937499,4.1167045784955425,0.9992624579461292,-88.82382426127133
91.6666845703125,3.760949009585379,0.9992998553263176,-88.55424451943826
100.00001953124999,3.4556434569017966,0.9993815453332363,-88.9039672671155
108.33335449218748,3.1956528845836645,0.9995318665498745,-89.19250805641143
116.66668945312499,2.966604635914845,0.9996542214907036,-89.32214567330706
125.0000244140625,2.779824159401468,0.9997054609535938,-89.44658903424497
133.333359375,2.610401209254138,0.9997380516218882,-89.61835243793514
141.66669433593748,2.4711649817704,0.9969696123598781,-89.71683279255012
150.00002929687497,2.34529693005118,0.9884593077642865,-89.72834293452527
158.3333642578125,2.225710672358925,0.9967773627047073,-89.85727369902636
166.66669921874998,2.11505189591485,0.9997955194138068,-89.96055744358625
175.00003417968747,2.0233086755159393,0.9998037168184417,-90.01397556852017
183.333369140625,1.9401903833525151,0.9997872629408542,-89.96736532302944
191.6667041015625,1.8700324988709078,0.9997296954980271,-89.95309986150667
200.00003906249998,1.8038576423354749,0.9994601967019019,-89.99522230214589
208.33337402343747,1.7424211707862503,0.9997154393767186,-89.98099377859953
216.66670898437496,1.689799361884412,0.9998336449351897,-89.98295354527951
225.00004394531248,1.6400342465022555,0.9998580581108472,-90.13306035282031
233.33337890624998,1.5926701784008193,0.9998361110888891,-90.18847574941628
241.66671386718747,1.5523238159925885,0.9997123706702975,-90.40941629137376
250.000048828125,1.512290842126367,0.9993021013198486,-90.63595370098629
258.33338378906245,1.4734562617499098,0.999727300270108,-90.62075445625638
266.66671875,1.4374104855176866,0.9998496079954808,-90.5615472828968
275.0000537109375,1.4044263233506231,0.9998040726372667,-90.5850272909951
283.33338867187496,1.375052956998449,0.9998049404201167,-90.5762293128281
291.6667236328125,1.3484504636482146,0.9997645963419342,-90.58027190333179
300.00005859374994,1.3248623178121042,0.9996836591604534,-90.58846131979499
308.33339355468746,1.304023674756886,0.9998132392086567,-90.69449648846137
316.666728515625,1.2822038522156627,0.9997835953065108,-90.76357468776712
325.00006347656245,1.2618893894801693,0.9997687388498406,-90.72873033814224
333.33339843749997,1.2450422366060692,0.9997798373530514,-90.75394919157777
341.6667333984375,1.2288212077833127,0.9997049815892476,-90.86201216192816
350.00006835937495,1.2119693023503937,0.9994476097501112,-90.91023378804839
358.33340332031247,1.196437868037438,0.9997477535631825,-90.90796057274483
366.66673828125,1.183396552457542,0.999801875694083,-90.92952942807536
375.00007324218745,1.1706951670301349,0.9997542868843399,-91.00412329194549
383.333408203125,1.1580839214709062,0.9998122345733126,-91.09664928808542
391.66674316406244,1.1462310652086611,0.9998302721478145,-91.04957709199525
400.00007812499996,1.1387420828520591,0.9997623307599941,-90.88625453992147
408.3334130859375,1.1335725611117056,0.9997728836017193,-90.94461191645411
416.66674804687494,1.1259853183452169,0.9996953558116068,-91.09214840063444
425.00008300781246,1.1177041478842749,0.999771852057086,-91.15889577567273
433.3334179687499,1.109874367657156,0.9998255474499056,-91.17839215531137
441.66675292968745,1.1039582378952357,0.9996100234483455,-91.18893475051796
450.00008789062497,1.100284404291806,0.9990692319390421,-91.18944476671155
458.33342285156243,1.0959829449315504,0.9995448473841504,-91.14620210596743
466.66675781249995,1.0940789250167706,0.9997220511074044,-91.09415415158134
475.0000927734375,1.0929150993268126,0.9997894758626167,-91.12138007219355
483.33342773437494,1.0913749877856649,0.9998123699974016,-91.10149905294477
491.66676269531246,1.0908055030937023,0.9997414727523607,-91.09667431445959
500.00009765625,1.091376023765232,0.9996463859865271,-91.06330381464764
508.33343261718744,1.0928584955622154,0.9996580443214935,-91.09815497883858
516.6667675781249,1.0941356241195228,0.9996640280414111,-91.15591998700484
525.0001025390625,1.096693806475097,0.9997695907140883,-91.22473399058505
533.3334375,1.0989368945704163,0.9997955511912773,-91.30522325964927
541.6667724609374,1.1008261730796969,0.9996893386911122,-91.3404688042214
550.000107421875,1.103942563677867,0.9996264090172986,-91.34845307108586
558.3334423828124,1.1081498894495174,0.9996896961010279,-91.29055294745795
566.6667773437499,1.1140661995511085,0.9997793726399745,-91.2213854401911
575.0001123046875,1.119888142298581,0.9997731107836529,-91.19269922756696
583.333447265625,1.1275316829279716,0.9997031859285019,-91.14899658116546
591.6667822265624,1.1360379683964745,0.9996014997493843,-91.17748697656108
600.0001171874999,1.1442486737167952,0.9996025089521927,-91.22282584295456
608.3334521484375,1.152826545585145,0.9997415169424247,-91.22641312737764
616.6667871093749,1.1636583367422833,0.999794859052345,-91.2257108123259
625.0001220703124,1.1739849579025206,0.9997398006057244,-91.23430036528
633.33345703125,1.1849061527169849,0.9997141168853722,-91.2133653584995
641.6667919921874,1.1969369066582454,0.9996894575427016,-91.20233247637331
650.0001269531249,1.210887343845586,0.9997165045836652,-91.2382602207401
658.3334619140625,1.2247483167829138,0.9997369573456389,-91.25855903874648
